"Playlist URL","https://www.youtube.com/playlist?list=PLDKhPq_cLoCQ"
"Playlist title","ALL"
"Playlist author","Tony Noga"
"Videos","1386"

"Video ID","Title","Channel","Added At","Published At","Duration","Thumbnail URL"
"C3InjkcC5YY","I Keep On Lovin' You","Reba McEntire - Topic","2026-09-23","2022-02-17","3:16","https://i.ytimg.com/vi/C3InjkcC5YY/hqdefault.jpg"
"TcLAQrjzyuc","Going Out Like That","Reba McEntire - Topic","2026-09-23","2018-08-15","3:43","https://i.ytimg.com/vi/TcLAQrjzyuc/hqdefault.jpg"
"w91LELVDuuI","If I Were A Boy","Reba McEntire - Topic","2026-09-23","2018-08-15","3:53","https://i.ytimg.com/vi/w91LELVDuuI/hqdefault.jpg"
"U1H9Pe0msCU","Sartse ot lego","Djena - Topic","2026-09-23","2026-04-02","3:37","https://i.ytimg.com/vi/U1H9Pe0msCU/hqdefault.jpg"
"ZcaG5lWbBLY","Da Get Together","WC - Topic","2026-09-23","2018-07-29","4:13","https://i.ytimg.com/vi/ZcaG5lWbBLY/hqdefault.jpg"
"Kc2S808lpus","Something 2 Live 4","WC - Topic","2026-09-23","2018-06-07","5:12","https://i.ytimg.com/vi/Kc2S808lpus/hqdefault.jpg"
"G9lm4e6m3k0","Ladies First (Radio Edit)","Queen Latifah - Topic","2026-09-23","2022-09-21","3:50","https://i.ytimg.com/vi/G9lm4e6m3k0/hqdefault.jpg"
"0oprsdDbF7U","Quiet Nights Of Quiet Stars","Queen Latifah - Topic","2026-09-23","2019-03-14","3:55","https://i.ytimg.com/vi/0oprsdDbF7U/hqdefault.jpg"
"QxjO4PwSfk8","I Want A Little Sugar In My Bowl","Queen Latifah - Topic","2026-09-23","2019-03-14","3:06","https://i.ytimg.com/vi/QxjO4PwSfk8/hqdefault.jpg"
"McstcGPbsOA","Don't Cry Baby","Queen Latifah - Topic","2026-09-23","2019-03-14","2:54","https://i.ytimg.com/vi/McstcGPbsOA/hqdefault.jpg"
"PrczAa6sJRs","No Work","Queen Latifah - Topic","2026-09-23","2018-07-26","2:52","https://i.ytimg.com/vi/PrczAa6sJRs/hqdefault.jpg"
"tdKmm7tAd5Y","Court Is In Session (Album Version (Explicit))","Queen Latifah - Topic","2026-09-23","2018-07-26","3:53","https://i.ytimg.com/vi/tdKmm7tAd5Y/hqdefault.jpg"
"PB8hm_IZVIs","La Gata Suelta","Luny Tunes - Topic","2026-09-23","2018-05-09","2:54","https://i.ytimg.com/vi/PB8hm_IZVIs/hqdefault.jpg"
"4wonfJ988aY","Tu Anda Sola (Explicit)","Luny Tunes - Topic","2026-09-23","2019-09-19","2:22","https://i.ytimg.com/vi/4wonfJ988aY/hqdefault.jpg"
"YTyLh3WA1kM","Луда","Gabriella - Topic","2026-09-23","2025-07-17","2:54","https://i.ytimg.com/vi/YTyLh3WA1kM/hqdefault.jpg"
"yD5AFjC4hq0","Габриела","Gabriella - Topic","2026-09-23","2025-12-07","2:23","https://i.ytimg.com/vi/yD5AFjC4hq0/hqdefault.jpg"
"5LIMd5ck-1M","Activated","MOUNT WESTMORE - Topic","2026-09-23","2025-03-14","4:00","https://i.ytimg.com/vi/5LIMd5ck-1M/hqdefault.jpg"
"kYeHZDJ3sfE","Lissette","Shaka y Benny - Topic","2026-09-23","2021-08-02","2:02","https://i.ytimg.com/vi/kYeHZDJ3sfE/hqdefault.jpg"
"vHNYhxUawrk","La Carretilla","Jenny - Topic","2026-09-23","2019-09-13","2:19","https://i.ytimg.com/vi/vHNYhxUawrk/hqdefault.jpg"
"jyHcxNUntqA","Calientame","Wisin & Yandel - Topic","2026-09-23","2023-10-12","3:05","https://i.ytimg.com/vi/jyHcxNUntqA/hqdefault.jpg"
"rIYMA6Sl0gE","La Matadora (Clean Version)","Mike Perfecto - Topic","2026-09-23","2014-11-08","3:09","https://i.ytimg.com/vi/rIYMA6Sl0gE/hqdefault.jpg"
"dbN11n6tC0I","Pegaté","Voltio - Topic","2026-09-23","2021-09-10","2:30","https://i.ytimg.com/vi/dbN11n6tC0I/hqdefault.jpg"
"4v-1UhoOyZY","Ven Esta Noche","L.A. Cartier - Topic","2026-09-23","2023-10-12","3:01","https://i.ytimg.com/vi/4v-1UhoOyZY/hqdefault.jpg"
"hATC-PyG758","Sal a la Disco","Angel Doze - Topic","2026-09-23","2021-06-17","3:08","https://i.ytimg.com/vi/hATC-PyG758/hqdefault.jpg"
"ASN02qDivyQ","Oye Como Va","Yaga & Mackie - Topic","2026-09-23","2020-07-27","3:31","https://i.ytimg.com/vi/ASN02qDivyQ/hqdefault.jpg"
"KzTXFH88AQY","Esta Noche","Tito - Topic","2026-09-23","2020-04-08","2:37","https://i.ytimg.com/vi/KzTXFH88AQY/hqdefault.jpg"
"3YScfkQTcbk","Castígala","The Money Machine - Topic","2026-09-23","2024-07-15","2:20","https://i.ytimg.com/vi/3YScfkQTcbk/hqdefault.jpg"
"___TDn95OEg","Acércate","Las Guanabanas - Topic","2026-09-23","2021-06-17","2:53","https://i.ytimg.com/vi/___TDn95OEg/hqdefault.jpg"
"Od4wb5AIlaw","Tu Y Yo","Nicky Jam - Topic","2026-09-23","2018-06-21","2:43","https://i.ytimg.com/vi/Od4wb5AIlaw/hqdefault.jpg"
"YkHYXITlhIE","Acorralala","DJ Rafy Mercenario - Topic","2026-09-23","2020-09-16","3:27","https://i.ytimg.com/vi/YkHYXITlhIE/hqdefault.jpg"
"ZRZEOqnB96E","Cuando Es/ Wao","Eddie Dee - Topic","2026-09-23","2018-06-21","3:21","https://i.ytimg.com/vi/ZRZEOqnB96E/hqdefault.jpg"
"xcAKcwsDosw","Tres Perros (feat. Angel Y Khriz)","Divino - Topic","2026-09-23","2026-03-18","3:06","https://i.ytimg.com/vi/xcAKcwsDosw/hqdefault.jpg"
"6KHtR4DsNMY","Paleta","Wisin & Yandel - Topic","2026-09-23","2019-12-05","2:56","https://i.ytimg.com/vi/6KHtR4DsNMY/hqdefault.jpg"
"srb1-hWLdj4","Furia de Mentira","Tego Calderón - Topic","2026-09-23","2021-06-17","2:58","https://i.ytimg.com/vi/srb1-hWLdj4/hqdefault.jpg"
"55fgY31wVis","Aqui Esta Tu Caldo","Daddy Yankee - Topic","2026-09-23","2020-07-27","3:33","https://i.ytimg.com/vi/55fgY31wVis/hqdefault.jpg"
"tUrvkVMtToA","Suelta Mami","Don Omar - Topic","2026-09-23","2015-02-21","2:22","https://i.ytimg.com/vi/tUrvkVMtToA/hqdefault.jpg"
"Fcn6fWoDeds","Me Voy Pa'l Party","Nicky Jam - Topic","2026-09-23","2020-02-06","3:00","https://i.ytimg.com/vi/Fcn6fWoDeds/hqdefault.jpg"
"jKSdH5Z5V2o","Bella Dama","Luny Tunes - Topic","2026-09-23","2018-05-09","3:17","https://i.ytimg.com/vi/jKSdH5Z5V2o/hqdefault.jpg"
"m3uYeDn9kbE","Si Te Preguntan","Luny Tunes - Topic","2026-09-23","2018-05-09","2:30","https://i.ytimg.com/vi/m3uYeDn9kbE/hqdefault.jpg"
"dOKl4fUE8vU","Dale Don Mas Duro","Don Omar - Topic","2026-09-23","2018-09-15","2:43","https://i.ytimg.com/vi/dOKl4fUE8vU/hqdefault.jpg"
"pT1Bm60SorE","Sin Él","Wisin & Yandel - Topic","2026-09-23","2019-12-05","2:53","https://i.ytimg.com/vi/pT1Bm60SorE/hqdefault.jpg"
